step,d_loss,h_loss,gpu_temp
533,0.693146,0.693043,76
534,0.693148,0.693312,76
535,0.693147,0.693155,76
536,0.693145,0.694002,76
537,0.693149,0.694927,76
538,0.693148,0.692728,76
539,0.693147,0.692779,76
540,0.693146,0.693475,77
541,0.693145,0.692984,77
542,0.693145,0.692821,77
543,0.693146,0.693714,77
544,0.693147,0.693021,77
545,0.693148,0.693103,77
546,0.693146,0.693231,77
547,0.693147,0.692998,77
548,0.693147,0.693198,77
549,0.693147,0.693381,77
550,0.693144,0.692828,79
551,0.693146,0.693642,79
552,0.693147,0.693341,79
553,0.693147,0.692448,79
554,0.693145,0.693289,79
555,0.693145,0.692909,79
556,0.693147,0.693074,79
557,0.693147,0.693339,79
558,0.693143,0.693712,79
559,0.693148,0.693,79
560,0.693148,0.692603,77
561,0.693147,0.693563,77
562,0.69313,0.69412,77
563,0.693147,0.69293,77
564,0.693151,0.693722,77
565,0.693148,0.693452,77
566,0.693142,0.692834,77
567,0.693149,0.693216,77
568,0.693146,0.693494,77
569,0.693144,0.693516,77
570,0.693147,0.693123,77
571,0.69314,0.693328,77
572,0.693142,0.693497,77
573,0.693147,0.691125,77
574,0.693144,0.694128,77
575,0.693148,0.692506,77
576,0.693147,0.69412,77
577,0.693148,0.692656,77
578,0.693309,0.698545,77
579,0.693165,0.690005,77
580,0.693145,0.695461,77
581,0.693149,0.692619,77
582,0.693148,0.693147,77
583,0.693146,0.693503,77
584,0.693147,0.692957,77
585,0.693146,0.693235,77
586,0.693145,0.693183,77
587,0.693145,0.693429,77
588,0.693147,0.693465,77
589,0.693147,0.693186,77
590,0.693143,0.692964,81
591,0.693147,0.693088,81
592,0.693145,0.693683,81
593,0.693147,0.693165,81
594,0.693144,0.69316,81
595,0.693146,0.693049,81
596,0.693145,0.693193,81
597,0.693147,0.693207,81
598,0.693147,0.692936,81
599,0.693147,0.693283,81
600,0.693147,0.692864,79
601,0.693145,0.693404,79
602,0.693146,0.69364,79
603,0.693147,0.693122,79
604,0.693145,0.693241,79
605,0.693146,0.693092,79
606,0.693147,0.693236,79
607,0.693146,0.693153,79
608,0.693144,0.693294,79
609,0.693148,0.693621,79
610,0.693148,0.69327,79
611,0.693149,0.693683,79
612,0.693144,0.692636,79
613,0.693145,0.693254,79
614,0.693145,0.693299,79
615,0.693144,0.69325,79
616,0.693148,0.693568,79
617,0.693147,0.693104,79
618,0.693146,0.693124,79
619,0.693148,0.693068,79
620,0.693146,0.693165,80
621,0.693147,0.693001,80
622,0.693147,0.693101,80
623,0.693145,0.693073,80
624,0.693144,0.693207,80
625,0.693147,0.693438,80
626,0.693146,0.693144,80
627,0.693147,0.693097,80
628,0.693147,0.693189,80
629,0.693147,0.693152,80
630,0.693145,0.693281,79
631,0.693145,0.693135,79
632,0.693147,0.693323,79
633,0.693147,0.693589,79
634,0.693148,0.692839,79
635,0.693146,0.693191,79
636,0.693147,0.6934,79
637,0.693146,0.693176,79
638,0.693147,0.693099,79
639,0.693147,0.69309,79
640,0.693147,0.693382,79
641,0.693146,0.692901,79
642,0.693143,0.693445,79
643,0.693144,0.693663,79
644,0.69314,0.693117,79
645,0.693147,0.693445,79
646,0.693146,0.693399,79
647,0.693144,0.692932,79
648,0.693147,0.693359,79
649,0.693146,0.693282,79
650,0.693144,0.692799,81
651,0.693143,0.692683,81
652,0.693147,0.694369,81
653,0.693148,0.692936,81
654,0.693146,0.693016,81
655,0.693148,0.69327,81
656,0.693144,0.693285,81
657,0.693147,0.69289,81
658,0.693147,0.693358,81
659,0.693147,0.693352,81
660,0.693146,0.693185,82
661,0.693147,0.692812,82
662,0.693146,0.693177,82
663,0.693145,0.693083,82
664,0.693151,0.69436,82
665,0.693143,0.694255,82
666,0.693145,0.692515,82
667,0.693141,0.693917,82
668,0.693145,0.693431,82
669,0.69315,0.694565,82
670,0.693147,0.693393,79
671,0.693147,0.692939,79
672,0.693148,0.693233,79
673,0.693145,0.692598,79
674,0.693142,0.693493,79
675,0.693148,0.69383,79
676,0.693146,0.692829,79
677,0.693144,0.693241,79
678,0.693146,0.693376,79
679,0.693149,0.693337,79
680,0.693146,0.692896,79
681,0.693141,0.693372,79
682,0.693148,0.693353,79
683,0.693145,0.692934,79
684,0.693154,0.693719,79
685,0.693144,0.692661,79
686,0.693138,0.694317,79
687,0.693147,0.693253,79
688,0.693148,0.693632,79
689,0.693151,0.694047,79
690,0.693148,0.691855,82
691,0.693148,0.693346,82
692,0.693142,0.693212,82
693,0.693149,0.693826,82
694,0.693146,0.693078,82
695,0.693147,0.692962,82
696,0.693146,0.693358,82
697,0.693144,0.693251,82
698,0.693148,0.693513,82
699,0.693144,0.692845,82
700,0.693152,0.694755,79
701,0.693144,0.691131,79
702,0.693143,0.693866,79
703,0.693144,0.692883,79
704,0.693152,0.694089,79
705,0.693146,0.692114,79
706,0.693155,0.69385,79
707,0.693146,0.693589,79
708,0.693142,0.692719,79
709,0.693147,0.693544,79
710,0.693143,0.693284,80
711,0.693143,0.693363,80
712,0.693149,0.693141,80
713,0.693145,0.693272,80
714,0.693138,0.693045,80
715,0.693149,0.695236,80
716,0.693146,0.692092,80
717,0.693147,0.693449,80
718,0.693147,0.692687,80
719,0.693145,0.693973,80
720,0.693146,0.692827,81
721,0.693146,0.693054,81
722,0.693147,0.693071,81
723,0.693144,0.69342,81
724,0.693146,0.692497,81
725,0.693145,0.693683,81
726,0.693143,0.693179,81
727,0.693147,0.693498,81
728,0.693144,0.692807,81
729,0.693144,0.692677,81
730,0.693139,0.693597,80
731,0.693146,0.692787,80
732,0.693134,0.693431,80
733,0.69315,0.693501,80
734,0.693147,0.692907,80
735,0.693143,0.692828,80
736,0.693145,0.693658,80
737,0.693142,0.693553,80
738,0.693141,0.692973,80
739,0.693145,0.693187,80
740,0.693147,0.692978,83
741,0.693147,0.693213,83
742,0.693141,0.693188,83
743,0.693147,0.693064,83
744,0.693145,0.693514,83
745,0.693143,0.692851,83
746,0.693137,0.690433,83
747,0.693141,0.694183,83
748,0.693143,0.693044,83
749,0.693147,0.692875,83
750,0.693145,0.692844,82
751,0.693143,0.693507,82
752,0.693143,0.690781,82
753,0.69315,0.695173,82
754,0.693139,0.69245,82
755,0.693146,0.693465,82
756,0.693141,0.691921,82
757,0.693145,0.694349,82
758,0.693142,0.692986,82
759,0.693138,0.692773,82
760,0.693151,0.695191,82
761,0.693146,0.692735,82
762,0.693146,0.693059,82
763,0.693147,0.693021,82
764,0.693142,0.692897,82
765,0.693143,0.693455,82
766,0.693117,0.694424,82
767,0.693131,0.69302,82
768,0.693143,0.69384,82
769,0.693148,0.693389,82
770,0.693138,0.692584,81
771,0.693145,0.6934,81
772,0.693146,0.692891,81
773,0.693141,0.693498,81
774,0.693142,0.692349,81
775,0.693141,0.693574,81
776,0.693143,0.693147,81
777,0.69314,0.693169,81
778,0.693144,0.693154,81
779,0.693144,0.693391,81
780,0.693145,0.692773,82
781,0.693143,0.693406,82
782,0.693148,0.693056,82
783,0.693145,0.693016,82
784,0.693141,0.692535,82
785,0.69314,0.693378,82
786,0.693144,0.692949,82
787,0.693144,0.692089,82
788,0.693151,0.695215,82
789,0.693148,0.692905,82
790,0.693145,0.693211,81
791,0.693145,0.694094,81
792,0.693165,0.693502,81
793,0.693153,0.692667,81
794,0.693365,0.681421,81
795,0.693269,0.690902,81
796,0.693227,0.690612,81
797,0.693152,0.691933,81
798,0.693222,0.690342,81
799,0.693156,0.692971,81
800,0.693149,0.693424,84
801,0.69318,0.693335,84
802,0.69317,0.692403,84
803,0.693156,0.693452,84
804,0.693133,0.69502,84
805,0.69315,0.693447,84
806,0.693148,0.693001,84
807,0.693147,0.692934,84
808,0.693143,0.693292,84
809,0.693141,0.694004,84
810,0.69315,0.692665,82
811,0.693144,0.693572,82
812,0.693141,0.69335,82
813,0.693137,0.693332,82
814,0.693144,0.693097,82
815,0.693147,0.693319,82
816,0.693142,0.693191,82
817,0.693146,0.692997,82
818,0.693147,0.693432,82
819,0.693143,0.692873,82
820,0.693146,0.693293,84
821,0.693144,0.693026,84
822,0.693147,0.6934,84
823,0.693146,0.693157,84
824,0.693144,0.693405,84
825,0.693148,0.692633,84
826,0.693139,0.693734,84
827,0.693149,0.693159,84
828,0.693146,0.693327,84
829,0.693147,0.693098,84
830,0.693143,0.693356,84
831,0.693144,0.693075,84
832,0.693147,0.693109,84
833,0.693146,0.693312,84
834,0.693147,0.693267,84
835,0.693146,0.693267,84
836,0.693147,0.692951,84
837,0.693147,0.69328,84
838,0.693147,0.693047,84
839,0.693147,0.693357,84
840,0.693147,0.693335,81
841,0.693147,0.693104,81
842,0.693147,0.693138,81
843,0.69314,0.69303,81
844,0.693146,0.693129,81
845,0.693142,0.693114,81
846,0.693147,0.693317,81
847,0.693147,0.69449,81
848,0.693147,0.692854,81
849,0.693147,0.693103,81
850,0.693147,0.693223,81
851,0.693147,0.692992,81
852,0.693146,0.693276,81
853,0.693148,0.692893,81
854,0.693146,0.692997,81
855,0.693147,0.693211,81
856,0.693148,0.693101,81
857,0.693146,0.693265,81
858,0.693145,0.693199,81
859,0.693142,0.693179,81
860,0.693146,0.693291,82
861,0.693145,0.693085,82
862,0.693147,0.693179,82
863,0.69315,0.693578,82
864,0.693147,0.692813,82
865,0.693146,0.693172,82
866,0.693148,0.693178,82
867,0.693142,0.693144,82
868,0.693145,0.693671,82
869,0.693144,0.692584,82
870,0.693147,0.693096,85
871,0.693147,0.693726,85
872,0.693147,0.693047,85
873,0.693148,0.692157,85
874,0.693149,0.694156,85
875,0.693142,0.69297,85
876,0.693149,0.692865,85
877,0.693148,0.693372,85
878,0.693147,0.693272,85
879,0.693139,0.693255,85
880,0.693146,0.693232,83
881,0.693144,0.693034,83
882,0.693146,0.693192,83
883,0.693146,0.693199,83
884,0.693146,0.693244,83
885,0.693146,0.693339,83
886,0.693143,0.693465,83
887,0.693147,0.693309,83
888,0.693147,0.693002,83
889,0.693147,0.693241,83
890,0.693145,0.693332,81
891,0.693147,0.692862,81
892,0.693147,0.693202,81
893,0.693143,0.6932,81
894,0.693143,0.693322,81
895,0.693145,0.693046,81
896,0.693144,0.693442,81
897,0.693147,0.692966,81
898,0.693147,0.693003,81
899,0.693147,0.693316,81
900,0.693147,0.693206,81
901,0.693145,0.693251,81
902,0.693147,0.693131,81
903,0.693142,0.693354,81
904,0.693145,0.693258,81
905,0.693147,0.693207,81
906,0.693146,0.693779,81
907,0.693147,0.692834,81
908,0.693145,0.693269,81
909,0.693147,0.693149,81
910,0.693146,0.693106,81
911,0.693147,0.693121,81
912,0.693147,0.693021,81
913,0.693147,0.69333,81
914,0.693145,0.69299,81
915,0.693146,0.693264,81
916,0.693146,0.693063,81
917,0.693147,0.693249,81
918,0.693145,0.693126,81
919,0.693142,0.693101,81
920,0.693147,0.693022,81
921,0.693147,0.693283,81
922,0.693147,0.693113,81
923,0.693142,0.693295,81
924,0.693147,0.69288,81
925,0.693148,0.692908,81
926,0.693146,0.693315,81
927,0.693147,0.693279,81
928,0.693147,0.693114,81
929,0.693147,0.693358,81
930,0.693147,0.692926,81
931,0.693146,0.693233,81
932,0.693147,0.693282,81
933,0.693146,0.693132,81
934,0.693147,0.692954,81
935,0.693147,0.693055,81
936,0.693147,0.693222,81
937,0.693148,0.693049,81
938,0.693147,0.693365,81
939,0.693147,0.692971,81
940,0.693147,0.693105,81
941,0.693147,0.693104,81
942,0.693147,0.693114,81
943,0.693147,0.693236,81
944,0.693147,0.693128,81
945,0.693146,0.693078,81
946,0.693148,0.693324,81
947,0.693148,0.693262,81
948,0.693145,0.692922,81
949,0.693146,0.693294,81
950,0.693147,0.693034,82
951,0.693147,0.693055,82
952,0.693147,0.693391,82
953,0.693144,0.693423,82
954,0.693147,0.693233,82
955,0.693146,0.693329,82
956,0.693146,0.693139,82
957,0.693147,0.693531,82
958,0.693145,0.693376,82
959,0.693146,0.6927,82
960,0.693145,0.693761,82
961,0.693148,0.693446,82
962,0.693143,0.692624,82
963,0.693145,0.693204,82
964,0.693144,0.693179,82
965,0.693147,0.693182,82
966,0.693144,0.693378,82
967,0.693144,0.693128,82
968,0.693145,0.692901,82
969,0.693146,0.693296,82
970,0.693145,0.693413,81
971,0.693146,0.692828,81
972,0.693146,0.693662,81
973,0.693143,0.693336,81
974,0.693153,0.694121,81
975,0.693145,0.69286,81
976,0.693147,0.693666,81
977,0.693147,0.693219,81
978,0.693146,0.692848,81
979,0.693146,0.69328,81
980,0.693142,0.693518,82
981,0.693147,0.69363,82
982,0.693147,0.693016,82
983,0.693149,0.693471,82
984,0.693146,0.693008,82
985,0.693147,0.692959,82
986,0.693146,0.693394,82
987,0.693146,0.693223,82
988,0.693145,0.693261,82
989,0.693146,0.693137,82
990,0.693146,0.693109,83
991,0.693147,0.693469,83
992,0.693145,0.693026,83
993,0.693146,0.692904,83
994,0.693146,0.693178,83
995,0.693147,0.693511,83
